user_id,date,text
U1,2026-01-01,Feeling fit.
U1,2026-01-02,Feeling fit.
U1,2026-01-03,Feeling fit.
U1,2026-01-04,Feeling fit.
U1,2026-01-05,Feeling fit.
U1,2026-01-06,Feeling fit.
U1,2026-01-07,Feeling fit.
U1,2026-01-08,Feeling fit.
U1,2026-01-09,Feeling fit.
U1,2026-01-10,Feeling fit.
U1,2026-01-11,Feeling fit.
U1,2026-01-12,Intense exhausting workout today!
U1,2026-01-13,Feeling fit.
U1,2026-01-14,Feeling fit.
U1,2026-01-15,Feeling fit.
U1,2026-01-16,Feeling fit.
U1,2026-01-17,Feeling fit.
U1,2026-01-18,Feeling fit.
U1,2026-01-19,Feeling fit.
U1,2026-01-20,Feeling fit.
U1,2026-01-21,Feeling fit.
U1,2026-01-22,Feeling fit.
U1,2026-01-23,Intense exhausting workout today!
U1,2026-01-24,Feeling fit.
U1,2026-01-25,Intense exhausting workout today!
U1,2026-01-26,Feeling fit.
U1,2026-01-27,Feeling fit.
U1,2026-01-28,Feeling fit.
U1,2026-01-29,Feeling fit.
U1,2026-01-30,Feeling fit.
U2,2026-01-01,Normal workday.
U2,2026-01-02,Normal workday.
U2,2026-01-03,Normal workday.
U2,2026-01-04,Normal workday.
U2,2026-01-05,Normal workday.
U2,2026-01-06,Barely wrote anything today.
U2,2026-01-07,Normal workday.
U2,2026-01-08,Normal workday.
U2,2026-01-09,Barely wrote anything today.
U2,2026-01-10,Normal workday.
U2,2026-01-11,Barely wrote anything today.
U2,2026-01-12,Normal workday.
U2,2026-01-13,Normal workday.
U2,2026-01-14,Normal workday.
U2,2026-01-15,Normal workday.
U2,2026-01-16,Normal workday.
U2,2026-01-17,Barely wrote anything today.
U2,2026-01-18,Normal workday.
U2,2026-01-19,Normal workday.
U2,2026-01-20,Barely wrote anything today.
U2,2026-01-21,Normal workday.
U2,2026-01-22,Barely wrote anything today.
U2,2026-01-23,Normal workday.
U2,2026-01-24,Normal workday.
U2,2026-01-25,Normal workday.
U2,2026-01-26,Normal workday.
U2,2026-01-27,Normal workday.
U2,2026-01-28,Normal workday.
U2,2026-01-29,Normal workday.
U2,2026-01-30,Normal workday.
U3,2026-01-01,Nice weather today.
U3,2026-01-02,Nice weather today.
U3,2026-01-03,Nice weather today.
U3,2026-01-04,Nice weather today.
U3,2026-01-05,Nice weather today.
U3,2026-01-06,Nice weather today.
U3,2026-01-07,Nice weather today.
U3,2026-01-08,Nice weather today.
U3,2026-01-09,Nice weather today.
U3,2026-01-10,Nice weather today.
U3,2026-01-11,Nice weather today.
U3,2026-01-12,Nice weather today.
U3,2026-01-13,Nice weather today.
U3,2026-01-14,Nice weather today.
U3,2026-01-15,Nice weather today.
U3,2026-01-16,Nice weather today.
U3,2026-01-17,Nice weather today.
U3,2026-01-18,Nice weather today.
U3,2026-01-19,Nice weather today.
U3,2026-01-20,Nice weather today.
U3,2026-01-21,Nice weather today.
U3,2026-01-22,Nice weather today.
U3,2026-01-23,Nice weather today.
U3,2026-01-24,Nice weather today.
U3,2026-01-25,Nice weather today.
U3,2026-01-26,Nice weather today.
U3,2026-01-27,Nice weather today.
U3,2026-01-28,Nice weather today.
U3,2026-01-29,Nice weather today.
U3,2026-01-30,Nice weather today.
U4,2026-01-01,Starting workout tomorrow!
U4,2026-01-02,Starting workout tomorrow!
U4,2026-01-03,Starting workout tomorrow!
U4,2026-01-04,Starting workout tomorrow!
U4,2026-01-05,Starting workout tomorrow!
U4,2026-01-06,Starting workout tomorrow!
U4,2026-01-07,Starting workout tomorrow!
U4,2026-01-08,Starting workout tomorrow!
U4,2026-01-09,Starting workout tomorrow!
U4,2026-01-10,Starting workout tomorrow!
U4,2026-01-11,Starting workout tomorrow!
U4,2026-01-12,Starting workout tomorrow!
U4,2026-01-13,Starting workout tomorrow!
U4,2026-01-14,Starting workout tomorrow!
U4,2026-01-15,Starting workout tomorrow!
U4,2026-01-16,Starting workout tomorrow!
U4,2026-01-17,Starting workout tomorrow!
U4,2026-01-18,Starting workout tomorrow!
U4,2026-01-19,Starting workout tomorrow!
U4,2026-01-20,Starting workout tomorrow!
U4,2026-01-21,Starting workout tomorrow!
U4,2026-01-22,Starting workout tomorrow!
U4,2026-01-23,Starting workout tomorrow!
U4,2026-01-24,Starting workout tomorrow!
U4,2026-01-25,Starting workout tomorrow!
U4,2026-01-26,Starting workout tomorrow!
U4,2026-01-27,Starting workout tomorrow!
U4,2026-01-28,Starting workout tomorrow!
U4,2026-01-29,Starting workout tomorrow!
U4,2026-01-30,Starting workout tomorrow!
